Mumbai	Maharashtra
Port Blair	Andaman and Nicobar Islands
Visakhapatnam	Andhra Pradesh
Vijayawada	Andhra Pradesh
Guntur	Andhra Pradesh
Nellore	Andhra Pradesh
Kurnool	Andhra Pradesh
Rajahmundry	Andhra Pradesh
Kakinada	Andhra Pradesh
Tirupati	Andhra Pradesh
Anantapur	Andhra Pradesh
Kadapa	Andhra Pradesh
Vizianagaram	Andhra Pradesh
Eluru	Andhra Pradesh
Ongole	Andhra Pradesh
Nandyal	Andhra Pradesh
Machilipatnam	Andhra Pradesh
Adoni	Andhra Pradesh
Tenali	Andhra Pradesh
Chittoor	Andhra Pradesh
Hindupur	Andhra Pradesh
Proddatur	Andhra Pradesh
Bhimavaram	Andhra Pradesh
Madanapalle	Andhra Pradesh
Guntakal	Andhra Pradesh
Dharmavaram	Andhra Pradesh
Gudivada	Andhra Pradesh
Srikakulam	Andhra Pradesh
Narasaraopet	Andhra Pradesh
Rajampet	Andhra Pradesh
Tadpatri	Andhra Pradesh
Tadepalligudem	Andhra Pradesh
Chilakaluripet	Andhra Pradesh
Yemmiganur	Andhra Pradesh
Kadiri	Andhra Pradesh
Chirala	Andhra Pradesh
Anakapalle	Andhra Pradesh
Kavali	Andhra Pradesh
Palacole	Andhra Pradesh
Sullurpeta	Andhra Pradesh
Tanuku	Andhra Pradesh
Rayachoti	Andhra Pradesh
Srikalahasti	Andhra Pradesh
Bapatla	Andhra Pradesh
Naidupet	Andhra Pradesh
Nagari	Andhra Pradesh
Gudur	Andhra Pradesh
Vinukonda	Andhra Pradesh
Narasapuram	Andhra Pradesh
Nuzvid	Andhra Pradesh
Markapur	Andhra Pradesh
Ponnur	Andhra Pradesh
Kandukur	Andhra Pradesh
Bobbili	Andhra Pradesh
Rayadurg	Andhra Pradesh
Samalkot	Andhra Pradesh
Jaggaiahpet	Andhra Pradesh
Tuni	Andhra Pradesh
Amalapuram	Andhra Pradesh
Bheemunipatnam	Andhra Pradesh
Venkatagiri	Andhra Pradesh
Sattenapalle	Andhra Pradesh
Pithapuram	Andhra Pradesh
Palasa Kasibugga	Andhra Pradesh
Parvathipuram	Andhra Pradesh
Macherla	Andhra Pradesh
Gooty	Andhra Pradesh
Salur	Andhra Pradesh
Mandapeta	Andhra Pradesh
Jammalamadugu	Andhra Pradesh
Peddapuram	Andhra Pradesh
Punganur	Andhra Pradesh
Nidadavole	Andhra Pradesh
Repalle	Andhra Pradesh
Ramachandrapuram	Andhra Pradesh
Kovvur	Andhra Pradesh
Tiruvuru	Andhra Pradesh
Uravakonda	Andhra Pradesh
Narsipatnam	Andhra Pradesh
Yerraguntla	Andhra Pradesh
Pedana	Andhra Pradesh
Renigunta	Andhra Pradesh
Rajam	Andhra Pradesh
Srisailam Project (Right Flank Colony) Township	Andhra Pradesh
Naharlagun	Arunachal Pradesh
Pasighat	Arunachal Pradesh
Guwahati	Assam
Silchar	Assam
Dibrugarh	Assam
Nagaon	Assam
Tinsukia	Assam
Jorhat	Assam
Bongaigaon City	Assam
Dhubri	Assam
Diphu	Assam
North Lakhimpur	Assam
Tezpur	Assam
Karimganj	Assam
Sibsagar	Assam
Goalpara	Assam
Barpeta	Assam
Lanka	Assam
Lumding	Assam
Mankachar	Assam
Nalbari	Assam
Rangia	Assam
Margherita	Assam
Mangaldoi	Assam
Silapathar	Assam
Mariani	Assam
Marigaon	Assam
Patna	Bihar
Gaya	Bihar
Bhagalpur	Bihar
Muzaffarpur	Bihar
Darbhanga	Bihar
Arrah	Bihar
Begusarai	Bihar
Chhapra	Bihar
Katihar	Bihar
Munger	Bihar
Purnia	Bihar
Saharsa	Bihar
